Type,Num,Heure,Destination,Information,Voie
TER,847423,14h01,BEAUVAIS,,18
Transilien,125451,14h04,LUZARCHES,,31
TER,847905,14h07,ST-QUENTIN,,13
Transilien,123475,14h11,PONTOISE,,32
Transilien,125221,14h19,MONTSOULT-M.,,30
TER,847613,14h19,CREIL,,
Thalys,9451,14h25,BRUXELLES-M.,,
Thalys,9351,14h25,AMSTERDAM,,
Transilien,124321,14h26,VALMONDOIS,,
Transilien,125747,14h34,PERSAN-BT.,,
Intercités,12311,14h37,ST-QUENTIN,,
Transilien,123477,14h41,PONTOISE,,
,9037,14h43,LONDON ST P.,,
TER,849923,14h46,LAON,,
TGV,7049,14h46,LILLE FLANDR,,
Transilien,125223,14h49,MONTSOULT-M.,,
TER,847809,14h49,COMPIEGNE,,
TGV,7331,14h52,DUNKERQUE,,
TGV,7131,14h52,VALENCIENNES,,
Transilien,124631,14h56,PERSAN-BT.,,
