Type,Num,Heure,Destination,Information,Voie
Transilien,125739,10h34,PERSAN-BT.,,30
Intercités,12307,10h37,MAUBEUGE,,15
Transilien,123461,10h41,PONTOISE,,34
TGV,7033,10h46,LILLE FLANDR,,
Transilien,125207,10h49,MONTSOULT-M.,,30
TER,847805,10h49,COMPIEGNE,,10
TGV,7113,10h52,VALENCIENNES,,
Transilien,124625,10h56,PERSAN-BT.,,
TER,847417,11h01,BEAUVAIS,,
Transilien,125445,11h04,LUZARCHES,,
TER,848507,11h10,ST-JUST,,
Transilien,123463,11h11,PONTOISE,,
Eurostar,9023,11h13,LONDON ST P.,,
Transilien,125209,11h19,MONTSOULT-M.,,
Thalys,9333,11h25,BRUXELLES-M.,,
Transilien,124313,11h26,VALMONDOIS,,
Transilien,125741,11h34,PERSAN-BT.,,
Transilien,123465,11h41,PONTOISE,,
,7535,11h46,RANG DU FLIE,,
Transilien,125211,11h49,MONTSOULT-M.,,
