Type,Num,Heure,Destination,Information,Voie
Transilien,125221,14h19,MONTSOULT-M.,,30
Thalys,9451,14h25,BRUXELLES-M.,,8
Thalys,9351,14h25,AMSTERDAM,,8
Transilien,124321,14h26,VALMONDOIS,,32
Transilien,125747,14h34,PERSAN-BT.,,31
Intercités,12311,14h37,ST-QUENTIN,,16
Transilien,123477,14h41,PONTOISE,,
,9037,14h43,LONDON ST P.,,
TER,849923,14h46,LAON,,
TGV,7049,14h46,LILLE FLANDR,,
Transilien,125223,14h49,MONTSOULT-M.,,
TER,847809,14h49,COMPIEGNE,,
TGV,7331,14h52,DUNKERQUE,,
TGV,7131,14h52,VALENCIENNES,,
Transilien,124631,14h56,PERSAN-BT.,,
Transilien,125453,15h04,LUZARCHES,,
Transilien,123479,15h11,PONTOISE,,
Eurostar,9039,15h13,LONDON,,
TGV,7053,15h16,LILLE FLANDR,,
Transilien,125225,15h19,MONTSOULT-M.,,
