Type,Num,Heure,Destination,Information,Voie
Transilien,123593,21h11,PONTOISE,,34
Eurostar,9063,21h13,LONDON,,..
TER,849939,21h16,LAON,,20
Transilien,124683,21h26,PERSAN-BT.,,35
TER,848541,21h28,CREIL,,
Transilien,125793,21h34,PERSAN-BT.,,
Transilien,123595,21h41,PONTOISE,,
Thalys,9395,21h55,BRUXELLES-M.,,
Transilien,124685,21h56,PERSAN-BT.,,
Transilien,124685,21h56,VIA VALMOND,,
Transilien,125501,22h04,LUZARCHES,,
Transilien,123597,22h11,PONTOISE,,
TGV,7097,22h21,LILLE FLANDR,,
Transilien,124687,22h26,PERSAN-BT.,,
Transilien,124687,22h26,VIA VALMOND,,
TER,848543,22h28,CREIL,,
Transilien,125795,22h34,PERSAN-BT.,,
TER,847919,22h37,ST-QUENTIN,,
Transilien,123599,22h41,PONTOISE,,
Transilien,121655,22h51,CREPY,,
