Type,Num,Heure,Destination,Information,Voie
,7070,17h44,LILLE FLANDR,ARRIVÉ,12
,9032,17h47,LONDON,,5
,9032,17h47,ST PANCRAS,,5
TER,848548,17h50,ST-JUST,,19
TER,847438,17h53,BEAUVAIS,,20
TER,847912,17h53,ST-QUENTIN,,17
Thalys,9362,18h05,BRUXELLES-M.,Retard : 10 mn,
,7142,18h08,VALENCIENNES,Retard : 20 mn,
TGV,7342,18h08,DUNKERQUE-V.,Retard : 20 mn,
TER,849934,18h10,LAON,,
TER,847824,18h11,COMPIEGNE,,
,7572,18h14,RANGDUFLIERS,,
TER,847440,18h23,BEAUVAIS,,
Intercités,12026,18h32,AMIENS,,
Thalys,9464,18h35,BRUXELLES-M.,,
Thalys,9364,18h35,AMSTERDAM,Retard : 25 mn,
TER,849936,18h40,LAON,,
TGV,7074,18h44,LILLE FLANDR,,
Eurostar,9036,18h47,LONDON,,
Eurostar,9036,18h47,ST PANCRAS,,
