Type,Num,Heure,Destination,Information,Voie
Thalys,9316,10h35,BRUXELLES-M.,,8
TER,848514,10h50,ST-JUST,,
TER,849918,11h12,LAON,,
TGV,7040,11h14,LILLE FLANDR,,
Eurostar,9008,11h17,LONDON,Retard : 05 mn,
Eurostar,9008,11h17,ST PANCRAS,Retard : 05 mn,
Intercités,12016,11h32,AMIENS,,
Thalys,9422,11h35,BRUXELLES-M.,,
Thalys,9322,11h35,AMSTERDAM,Retard : 40 mn,
TER,847612,11h41,CREIL,,
Eurostar,9010,11h47,LONDON,,
Eurostar,9010,11h47,ST PANCRAS,,
Intercités,12312,11h53,ST-QUENTIN,,
TER,847426,11h57,BEAUVAIS,,
Thalys,9424,11h59,KOLN,,
TGV,7318,12h08,DUNKERQUE-V.,,
,7546,12h14,BOULOGNE-V.,,
TER,848516,12h32,AMIENS,,
Thalys,9328,12h35,AMSTERDAM,Retard : 01 h 00 mn,
,7248,12h44,TOURCOING,,
